Date,Fund,TD Balanced Growth Fund
2001-09-05,0.003,-0.001
2001-09-06,0.005,-0.003
2001-09-07,0.009,-0.006
2001-09-10,0.009,-0.008
2001-09-17,0.019,-0.036
2001-09-18,0.019,-0.042
2001-09-19,0.021,-0.051
2001-09-20,0.020,-0.066
2001-09-21,0.020,-0.071
2001-09-24,0.018,-0.057
2001-09-25,0.018,-0.053
2001-09-26,0.021,-0.056
2001-09-27,0.022,-0.052
2001-09-28,0.022,-0.040
2001-10-01,0.020,-0.046
2001-10-02,0.021,-0.042
2001-10-03,0.020,-0.034
2001-10-04,0.019,-0.034
2001-10-05,0.023,-0.032
2001-10-09,0.021,-0.038
2001-10-10,0.018,-0.029
2001-10-11,0.011,-0.023
2001-10-12,0.016,-0.023
2001-10-15,0.016,-0.028
2001-10-16,0.017,-0.022
2001-10-17,0.019,-0.028
2001-10-18,0.018,-0.032
2001-10-19,0.016,-0.030
2001-10-22,0.013,-0.025
2001-10-23,0.015,-0.025
2001-10-24,0.019,-0.022
2001-10-25,0.022,-0.018
2001-10-26,0.022,-0.014
2001-10-29,0.025,-0.024
2001-10-30,0.028,-0.031
2001-10-31,0.031,-0.023
2001-11-01,0.031,-0.013
2001-11-02,0.030,-0.012
2001-11-05,0.032,-0.002
2001-11-06,0.033,0.006
2001-11-07,0.036,0.006
2001-11-08,0.033,0.007
2001-11-09,0.035,0.012
2001-11-13,0.032,0.019
2001-11-14,0.026,0.018
2001-11-15,0.019,0.012
2001-11-16,0.013,0.014
2001-11-19,0.013,0.022
2001-11-20,0.014,0.018
2001-11-21,0.011,0.014
2001-11-22,0.011,0.017
2001-11-23,0.011,0.020
2001-11-26,0.011,0.025
2001-11-27,0.015,0.022
2001-11-28,0.015,0.010
2001-11-29,0.017,0.015
2001-11-30,0.019,0.017
